Code,latitude,longitude,name,Per capita plastic waste (kg/person/day)
ALB,41.153332,20.168331,Albania,0.069
DZA,28.033886,1.659626,Algeria,0.144
AGO,-11.202692,17.873887,Angola,0.062
AIA,18.220554,-63.068615,Anguilla,0.252
ATG,17.060816,-61.796428,Antigua and Barbuda,0.66
ARG,-38.416097,-63.616672,Argentina,0.183
ABW,12.52111,-69.968338,Aruba,0.252
AUS,-25.274398,133.775136,Australia,0.112
BHS,25.03428,-77.39628,Bahamas,0.39
BHR,25.930414,50.637772,Bahrain,0.132
BGD,23.684994,90.356331,Bangladesh,0.034
BRB,13.193887,-59.543198,Barbados,0.57
BEL,50.503887,4.469936,Belgium,0.08
BLZ,17.189877,-88.49765,Belize,0.172
BEN,9.30769,2.315834,Benin,0.043
BMU,32.321384,-64.75737,Bermuda,0.252
BIH,43.915886,17.679076,Bosnia and Herzegovina,0.144
BRA,-14.235004,-51.92528,Brazil,0.165
VGB,18.420695,-64.639968,British Virgin Islands,0.252
BRN,4.535277,114.727669,Brunei,0.026
BGR,42.733883,25.48583,Bulgaria,0.154
KHM,12.565679,104.990963,Cambodia,0.066
CMR,7.369722,12.354722,Cameroon,0.046
CAN,56.130366,-106.346771,Canada,0.093
CPV,16.002082,-24.013197,Cape Verde,0.065
CYM,19.513469,-80.566956,Cayman Islands,0.252
OWID_CIS,49.228552 ,-2.233991,Channel Islands,0.252
CHL,-35.675147,-71.542969,Chile,0.119
CHN,35.86166,104.195397,China,0.121
CXR,-10.447525,105.690449,Christmas Island,0.252
CCK,-12.164165,96.870956,Cocos [Keeling] Islands,0.252
COL,4.570868,-74.297333,Colombia,0.144
COM,-11.875001,43.872219,Comoros,0.201
,,,,
COD,-4.038333,21.758664,Congo [DRC],0.045
COG,-0.228021,15.827659,Congo [Republic],0.069
COK,-21.236736,-159.777671,Cook Islands,0.144
CRI,9.748917,-83.753428,Costa Rica,0.258
CIV,7.539989,-5.54708,Côte d'Ivoire,0.103
HRV,45.1,15.2,Croatia,0.252
CUB,21.521757,-77.781167,Cuba,0.089
CUW,12.16957,-68.99002,Curacao,0.252
CYP,35.126413,33.429859,Cyprus,0.248
DNK,56.26392,9.501785,Denmark,0.047
DJI,11.825138,42.590275,Djibouti,0.103
DMA,15.414999,-61.370976,Dominica,0.149
DOM,18.735693,-70.162651,Dominican Republic,0.144
ECU,-1.831239,-78.183406,Ecuador,0.147
EGY,26.820553,30.802498,Egypt,0.178
SLV,13.794185,-88.89653,El Salvador,0.147
GNQ,1.650801,10.267895,Equatorial Guinea,0.144
ERI,15.179384,39.782334,Eritrea,0.045
EST,58.595272,25.013607,Estonia,0.176
FRO,-51.796253,-59.523613,Falkland Islands [Islas Malvinas],0.252
FLK,61.892635,-6.911806,Faroe Islands,0.252
FJI,-16.578193,179.414413,Fiji,0.189
FIN,61.92411,25.748151,Finland,0.234
FRA,46.227638,2.213749,France,0.192
GUF,3.933889,-53.125782,French Guiana,0.144
PYF,-17.679742,-149.406843,French Polynesia,0.252
GAB,-0.803689,11.609444,Gabon,0.054
GMB,13.443182,-15.310139,Gambia,0.048
GEO,42.315407,43.356892,Georgia,0.068
DEU,51.165691,10.451526,Germany,0.485
GHA,7.946527,-1.023194,Ghana,0.04
GIB,36.137741,-5.345374,Gibraltar,0.252
GRC,39.074208,21.824312,Greece,0.2
GRL,71.706936,-42.604303,Greenland,0.252
GRD,12.262776,-61.604171,Grenada,0.325
GLP,16.995971,-62.067641,Guadeloupe,0.144
GUM,13.444304,144.793731,Guam,0.252
GTM,15.783471,-90.230759,Guatemala,0.28
GGY,49.465691,-2.585278,Guernsey,0.252
GIN,9.945587,-9.696645,Guinea,0.03
GNB,11.803749,-15.180413,Guinea-Bissau,0.054
GUY,4.860416,-58.93018,Guyana,0.586
HTI,18.971187,-72.285215,Haiti,0.09
HND,15.199999,-86.241905,Honduras,0.189
HKG,22.396428,114.109497,Hong Kong,0.398
ISL,64.963051,-19.020835,Iceland,0.281
IND,20.593684,78.96288,India,0.01
IDN,-0.789275,113.921327,Indonesia,0.057
IRN,32.427908,53.688046,Iran,0.144
IRQ,33.223191,43.679291,Iraq,0.103
IRL,53.41291,-8.24389,Ireland,0.43
ISR,31.046051,34.851612,Israel,0.297
ITA,41.87194,12.56738,Italy,0.134
