LATITUDE,LONGITUDE,TOTAL__G_KM_
19.94,-64.56,35.51
20.22,-64.38,70.52
20.45,-64.2,3548.46
21.13,-63.83,18.27
21.47,-63.59,34.47
21.74,-63.42,2106.08
22.15,-63.15,6.03
22.84,-62.76,50.980000000000004
24.36,-62.81,30.02
24.36,-62.81,22.55
24.77,-62.72,13.45
25.38,-62.48,4.87
25.56,-62.44,26606.27
26.09,-61.72,12.969999999999999
29.25,-62.99,192.43
29.75,-63.22,779.3900000000001
30.55,-63.71,1386.23
31.18,-64.01,148.78
31.54,-64.27,204.65999999999997
31.96,-64.54,1620.88
32.32,-64.43,596.46
32.08,-64.63,624.23
31.59,-62.77,261.28
31.2,-62.04,200.46
30.87,-61.31,1208.33
30.07,-58.71,381.13
30.07,-58.71,40.78
29.68,-56.7,127.44
29.54,-54.96,393.04
29.28,-53.61,364.5
28.91,-51.89,176.07
28.77,-51.08,486.38000000000005
28.55,-50.1,474.85999999999996
35.67,-35.02,57.16
36.29,-33.39,369.01
-23.5,-39.28,41.56
-23.73,-37.49,24.290000000000003
-23.89,-36.69,63.17
-24.11,-33.96,133.03
-23.03,-30.85,105.87
-22.3,-29.25,112.13
-20.83,-28.25,10.989999999999998
-19.8,-27.34,19.25
-18.62,-26.16,1.97
-17.89,-25.09,1.09
-16.98,-23.73,2.42
-16.24,-22.53,7.8
-13.99,-20.74,63.81
-26.43,-41.04,6.88
-26.39,-39.92,40.0
-26.19,-38.76,37.31
-26.13,-37.59,88.89999999999999
-26.0,-36.5,92.4
-25.9,-35.37,18.28
-25.8,-34.21,84.96
-25.92,-35.08,61.89
-26.08,-31.97,80.11
-26.31,-31.09,180.49
-26.49,-30.03,108.31
-26.8,-29.1,19.169999999999998
-26.7,-28.09,133.77
-27.33,-26.89,80.42
-27.88,-25.9,43.26
-28.58,-24.98,165.16
-29.52,-24.61,47.739999999999995
-29.97,-23.48,96.21000000000001
-30.66,-22.67,107.11000000000001
-31.25,-21.73,172.29
-31.87,-20.75,23.78
-32.59,-19.95,606.95
-33.49,-19.1,464.26
-34.04,-18.19,303.09000000000003
-34.6,-17.19,942.71
-34.33,-15.98,498.71000000000004
-34.07,-14.79,415.46000000000004
-33.57,-13.71,191.27
-33.26,-12.49,374.38
-32.9,-11.37,393.75
-32.61,-10.2,245.44
-32.33,-9.21,1748.8600000000001
-31.64,-8.08,843.8199999999999
-31.93,-6.99,216.65
-32.28,-5.95,363.69
-32.62,-4.85,193.76999999999998
-32.84,-3.68,115.61
-33.04,-2.43,319.88
-33.22,-1.27,359.41999999999996
-33.42,0.08,861.19
-33.62,1.08,34.18
-33.82,2.26,326.16999999999996
-34.03,3.46,98.66
-34.16,4.86,248.89
-34.36,6.25,299.84
-34.31,7.11,101.49
-34.02,9.78,35.86
-33.78,11.4,1041.99
-17.72,-5.95,10.1
-19.18,-5.97,6.73
-20.88,-6.0,61.72
-22.54,-6.19,154.48000000000002
-23.85,-6.33,18.279999999999998
-24.38,-7.27,144.82999999999998
-24.91,-8.2,378.09999999999997
