"GRIDCODE,N,10,0","X_COORD,N,18,5","Y_COORD,N,18,5","AllTaxa,N,19,11","AllNorm,N,19,11","CoastNorm,N,19,11","OceanNorm,N,19,11"
1,-176,69.98829,211.409304831,0.13614937,0.120490883,0.154417605
2,-168,69.98829,228.70771772,0.145124533,0.143621812,0.146877708
3,-160,69.98829,264.761520088,0.150420706,0.150823315,0.149950996
4,-152,69.98829,258.294275488,0.194729833,0.186301269,0.204563158
5,-144,69.98829,325.114161163,0.204674332,0.189906336,0.22190366
6,-136,69.98829,236.086689002,0.190221399,0.168377287,0.215706196
7,-128,69.98829,69.082556897,0.041727204,0.031679006,0.053450102
8,-120,69.98829,65.876464627,0.034910717,0.031706467,0.03864901
9,-112,69.98829,59.7884682693,0.031436033,0.031454825,0.031414109
10,-104,69.98829,69.7906197507,0.030353043,0.032060862,0.028360586
11,-96,69.98829,114.909536479,0.06452748,0.076978673,0.050001088
12,-88,69.98829,48.2874774584,0.064822154,0.074535731,0.053489649
13,-80,69.98829,65.5703979452,0.081547325,0.097661347,0.062747632
14,-72,69.98829,75.3614801028,0.096657049,0.097795556,0.095328791
15,-64,69.98829,113.108585012,0.111247724,0.110188884,0.112483037
16,-56,69.98829,109.525226107,0.130466876,0.109684713,0.154712733
17,-48,69.98829,115.92430724,0.140510575,0.109873095,0.176254301
18,-40,69.98829,122.14534999,0.140027387,0.097197049,0.189996115
19,-32,69.98829,123.78268466,0.217896122,0.114663751,0.338333888
20,-24,69.98829,147.982142857,0.25335718,0.156448835,0.366416916
21,-16,69.98829,113,0.252382403,0.16110112,0.358877234
22,-8,69.98829,209.2272727,0.269595434,0.206395326,0.343328893
23,0,69.98829,183.68181818,0.24312061,0.177528924,0.319644245
24,8,69.98829,230.3809524,0.222294793,0.177668353,0.274358974
25,16,69.98829,174.233657321,0.158075698,0.144603401,0.173793379
26,24,69.98829,85.7653941287,0.139808923,0.119735483,0.163227936
27,32,69.98829,55.796210208,0.132946938,0.118239611,0.150105486
28,40,69.98829,59.0184266732,0.125860054,0.113203756,0.140625736
29,48,69.98829,57.1057394544,0.10399958,0.083439295,0.127986579
30,56,69.98829,54.7791935799,0.087558181,0.074335524,0.102984615
31,64,69.98829,42.9133328414,0.074641869,0.059582584,0.092211034
32,72,69.98829,36.2192139206,0.063208509,0.059527619,0.067502882
33,80,69.98829,30.6868398227,0.048336508,0.058232919,0.036790695
34,88,69.98829,28.7747873646,0.049632677,0.058079954,0.03977752
35,96,69.98829,28.9329682232,0.046345482,0.058177614,0.032541328
37,112,69.98829,46.4323786848,0.039654386,0.044916592,0.033515144
38,120,69.98829,43.9392175358,0.039269262,0.044784016,0.032835383
39,128,69.98829,52.9150933479,0.041945215,0.045216695,0.038128487
40,136,69.98829,52.7684621029,0.0384713,0.045317395,0.03048419
41,144,69.98829,93.4266324699,0.108852416,0.099986584,0.119195888
42,152,69.98829,96.3754207863,0.110437519,0.100102294,0.122495281
43,160,69.98829,113.82126211,0.13000839,0.119102081,0.142732417
44,168,69.98829,115.423121888,0.139931224,0.123041753,0.159635607
45,176,69.98829,126.951907265,0.128036936,0.115834311,0.142273333
46,-176,51.74316,221.127673827,0.20999966,0.147133655,0.283343332
47,-168,51.74316,310.933337781,0.228749624,0.16619176,0.3017338
48,-160,51.74316,287.971655443,0.232754865,0.172731626,0.302781978
49,-152,51.74316,293.637577099,0.19594674,0.101873206,0.305699197
50,-144,51.74316,63,0.169575723,0.070975057,0.284609835
51,-136,51.74316,271.479024751,0.231911893,0.127713937,0.353476175
