LATITUDE,LONGITUDE,PLASTIC,BIODIVERSITY
19.94,-64.56,35.51,0.415490533
20.22,-64.38,70.52,0.415490533
20.45,-64.2,3548.46,0.415490533
21.13,-63.83,18.27,0.415490533
21.47,-63.59,34.47,0.415490533
21.74,-63.42,2106.08,0.415490533
22.15,-63.15,6.03,0.415490533
22.84,-62.76,50.98,0.415490533
24.36,-62.81,30.02,0.415490533
24.36,-62.81,22.55,0.415490533
24.77,-62.72,13.45,0.415490533
25.38,-62.48,4.87,0.415490533
25.56,-62.44,26606.27,0.415490533
26.09,-61.72,12.97,0.362526844
29.25,-62.99,192.43,0.362526844
29.75,-63.22,779.3900000000001,0.362526844
30.55,-63.71,1386.23,0.362526844
31.18,-64.01,148.78,0.362526844
31.54,-64.27,204.66,0.362526844
31.96,-64.54,1620.88,0.362526844
32.32,-64.43,596.46,0.362526844
32.08,-64.63,624.23,0.362526844
31.59,-62.77,261.28,0.362526844
31.2,-62.04,200.46,0.362526844
30.87,-61.31,1208.33,0.362526844
30.07,-58.71,381.13,0.301756045
30.07,-58.71,40.78,0.301756045
29.68,-56.7,127.44,0.301756045
29.54,-54.96,393.04,0.301756045
29.28,-53.61,364.5,0.301756045
28.91,-51.89,176.07,0.282960403
28.77,-51.08,486.38000000000005,0.282960403
28.55,-50.1,474.86,0.282960403
35.67,-35.02,57.16,0.328535902
36.29,-33.39,369.01,0.328535902
-23.5,-39.28,41.56,0.378443163
-23.73,-37.49,24.290000000000006,0.378443163
-23.89,-36.69,63.17,0.378443163
-24.11,-33.96,133.03,0.315884541
-23.03,-30.85,105.87,0.315884541
-22.3,-29.25,112.13,0.315884541
-20.83,-28.25,10.989999999999998,0.315884541
-19.8,-27.34,19.25,0.263420179
-18.62,-26.16,1.97,0.263420179
-17.89,-25.09,1.09,0.263420179
-16.98,-23.73,2.42,0.263420179
-16.24,-22.53,7.8,0.263420179
-13.99,-20.74,63.81,0.296920726
-26.43,-41.04,6.88,0.369791521
-26.39,-39.92,40.0,0.369791521
-26.19,-38.76,37.31,0.369791521
-26.13,-37.59,88.89999999999998,0.369791521
-26.0,-36.5,92.4,0.369791521
-25.9,-35.37,18.28,0.277729674
-25.8,-34.21,84.96,0.277729674
-25.92,-35.08,61.89,0.277729674
-26.08,-31.97,80.11,0.277729674
-26.31,-31.09,180.49,0.277729674
-26.49,-30.03,108.31,0.277729674
-26.8,-29.1,19.17,0.277729674
-26.7,-28.09,133.77,0.277729674
-27.33,-26.89,80.42,0.262883195
-27.88,-25.9,43.26,0.262883195
-28.58,-24.98,165.16,0.262883195
-29.52,-24.61,47.74,0.262883195
-29.97,-23.48,96.21,0.262883195
-30.66,-22.67,107.11,0.262883195
-31.25,-21.73,172.29,0.262883195
-31.87,-20.75,23.78,0.262883195
-32.59,-19.95,606.95,0.265641026
-33.49,-19.1,464.26,0.25728849800000003
-34.04,-18.19,303.0900000000001,0.25728849800000003
-34.6,-17.19,942.71,0.25728849800000003
-34.33,-15.98,498.71,0.25728849800000003
-34.07,-14.79,415.46,0.25728849800000003
-33.57,-13.71,191.27,0.25728849800000003
-33.26,-12.49,374.38,0.265641026
-32.9,-11.37,393.75,0.258608059
-32.61,-10.2,245.44,0.258608059
-32.33,-9.21,1748.86,0.258608059
-31.64,-8.08,843.8199999999998,0.258608059
-31.93,-6.99,216.65,0.258608059
-32.28,-5.95,363.69,0.258608059
-32.62,-4.85,193.77,0.258608059
-32.84,-3.68,115.61,0.283803376
-33.04,-2.43,319.88,0.283803376
-33.22,-1.27,359.42,0.283803376
-33.42,0.08,861.19,0.296392069
-33.62,1.08,34.18,0.296392069
-33.82,2.26,326.17,0.296392069
-34.03,3.46,98.66,0.296392069
-34.16,4.86,248.89,0.347388509
-34.36,6.25,299.84,0.347388509
-34.31,7.11,101.49,0.347388509
-34.02,9.78,35.86,0.347388509
-33.78,11.4,1041.99,0.347388509
-17.72,-5.95,10.1,0.286743211
-19.18,-5.97,6.73,0.286743211
-20.88,-6.0,61.72,0.286743211
-22.54,-6.19,154.48000000000005,0.286743211
-23.85,-6.33,18.28,0.286743211
-24.38,-7.27,144.82999999999996,0.258608059
-24.91,-8.2,378.1,0.258608059
-25.38,-9.23,102.79,0.258608059
-25.82,-10.28,651.45,0.258608059
-26.29,-11.29,80.46,0.258608059
-26.84,-12.26,184.26,0.265641026
-27.22,-13.27,120.91,0.265641026
-27.64,-14.3,1327.75,0.265641026
-28.03,-15.34,514.85,0.265641026
-28.39,-16.39,847.52,0.265641026
-28.83,-17.44,360.38,0.265641026
-29.12,-18.51,385.74,0.265641026
-29.51,-19.57,262.95,0.265641026
-29.95,-20.71,653.3199999999998,0.262883195
-30.28,-21.83,833.19,0.262883195
-30.57,-22.93,477.96,0.262883195
-30.9,-24.06,474.29,0.262883195
-31.14,-25.22,369.91,0.262883195
-31.48,-26.32,92.54,0.262883195
-31.66,-27.52,422.50000000000006,0.262883195
-31.94,-28.69,96.58,0.277729674
-32.48,-29.71,408.69,0.277729674
-32.83,-30.81,278.34000000000003,0.277729674
-33.24,-32.05,327.6,0.277729674
-33.45,-33.17,241.77,0.25049245600000003
-33.69,-34.34,98.25,0.25049245600000003
-33.94,-35.5,74.94,0.25049245600000003
