LONGITUDE,LATITUDE,VALUE
-176,69.98829,0.13614937
-168,69.98829,0.145124533
-160,69.98829,0.150420706
-152,69.98829,0.19472983300000002
-144,69.98829,0.204674332
-136,69.98829,0.19022139899999999
-128,69.98829,0.041727204
-120,69.98829,0.034910717
-112,69.98829,0.031436032999999995
-104,69.98829,0.030353043
-96,69.98829,0.06452748
-88,69.98829,0.064822154
-80,69.98829,0.081547325
-72,69.98829,0.09665704900000001
-64,69.98829,0.111247724
-56,69.98829,0.130466876
-48,69.98829,0.140510575
-40,69.98829,0.140027387
-32,69.98829,0.217896122
-24,69.98829,0.25335718
-16,69.98829,0.25238240300000003
-8,69.98829,0.26959543399999997
0,69.98829,0.24312061
8,69.98829,0.22229479300000002
16,69.98829,0.15807569800000001
24,69.98829,0.139808923
32,69.98829,0.13294693800000001
40,69.98829,0.125860054
48,69.98829,0.10399958
56,69.98829,0.087558181
64,69.98829,0.074641869
72,69.98829,0.06320850900000001
80,69.98829,0.048336508
88,69.98829,0.049632677
96,69.98829,0.046345482
112,69.98829,0.039654386
120,69.98829,0.039269262
128,69.98829,0.041945215
136,69.98829,0.0384713
144,69.98829,0.108852416
152,69.98829,0.110437519
160,69.98829,0.13000839
168,69.98829,0.139931224
176,69.98829,0.128036936
-176,51.743159999999996,0.20999966
-168,51.743159999999996,0.22874962399999998
-160,51.743159999999996,0.232754865
-152,51.743159999999996,0.19594674
-144,51.743159999999996,0.169575723
-136,51.743159999999996,0.231911893
-128,51.743159999999996,0.241593573
-88,51.743159999999996,0.053692458
-80,51.743159999999996,0.061856898
-64,51.743159999999996,0.205308768
-56,51.743159999999996,0.236306475
-48,51.743159999999996,0.24418923
-40,51.743159999999996,0.24240396399999997
-32,51.743159999999996,0.238514244
-24,51.743159999999996,0.239713919
-16,51.743159999999996,0.283428324
-8,51.743159999999996,0.325517961
0,51.743159999999996,0.280437736
8,51.743159999999996,0.19153283399999999
16,51.743159999999996,0.216635787
136,51.743159999999996,0.194514603
144,51.743159999999996,0.249225975
152,51.743159999999996,0.238135565
160,51.743159999999996,0.222576513
168,51.743159999999996,0.19196761
176,51.743159999999996,0.18348174899999997
-176,40.03754,0.28341174
-168,40.03754,0.286636684
-160,40.03754,0.269339965
-152,40.03754,0.27767429
-144,40.03754,0.267364709
-136,40.03754,0.27906098100000004
-128,40.03754,0.369912739
-120,40.03754,0.332686398
-80,40.03754,0.309327798
-72,40.03754,0.46336289700000005
-64,40.03754,0.446071715
-56,40.03754,0.36994306299999996
-48,40.03754,0.284687278
-40,40.03754,0.26104182800000003
-32,40.03754,0.328535902
-24,40.03754,0.34154921899999996
-16,40.03754,0.327966395
-8,40.03754,0.45017482799999997
0,40.03754,0.37534700200000004
8,40.03754,0.311905492
16,40.03754,0.311744747
24,40.03754,0.28994547800000003
120,40.03754,0.21252631100000002
128,40.03754,0.43428493700000004
136,40.03754,0.579306501
144,40.03754,0.520338956
152,40.03754,0.363757357
160,40.03754,0.29901025
168,40.03754,0.286794072
176,40.03754,0.264336199
-176,30.1738,0.297257599
-168,30.1738,0.304798646
-160,30.1738,0.301794413
-152,30.1738,0.31240795600000004
-144,30.1738,0.288488363
-136,30.1738,0.288517194
-128,30.1738,0.35537263700000005
-120,30.1738,0.417153829
-112,30.1738,0.375870714
-96,30.1738,0.39926719
-88,30.1738,0.46511967
-80,30.1738,0.5170171579999999
-72,30.1738,0.46580634299999996
-64,30.1738,0.36252684399999996
-56,30.1738,0.301756045
-48,30.1738,0.282960403
-40,30.1738,0.280097776
-32,30.1738,0.308404549
-24,30.1738,0.34828761
-16,30.1738,0.48116094
-8,30.1738,0.403900941
16,30.1738,0.276788265
24,30.1738,0.284115838
32,30.1738,0.437668065
48,30.1738,0.198677555
56,30.1738,0.292694573
120,30.1738,0.5313578529999999
128,30.1738,0.733517745
136,30.1738,0.666606948
144,30.1738,0.48671322100000003
152,30.1738,0.297953537
160,30.1738,0.284530636
168,30.1738,0.270332197
176,30.1738,0.270348495
-176,21.24611,0.298155162
-168,21.24611,0.333262331
-160,21.24611,0.39605141299999996
-152,21.24611,0.372287706
-144,21.24611,0.29921579800000003
-136,21.24611,0.28725621100000004
-128,21.24611,0.29136709
-120,21.24611,0.314534451
-112,21.24611,0.40950581399999997
-104,21.24611,0.33908880799999996
-96,21.24611,0.41509354600000004
-88,21.24611,0.461430044
-80,21.24611,0.519611481
-72,21.24611,0.478194633
-64,21.24611,0.415490533
-56,21.24611,0.32375258100000004
-48,21.24611,0.263449497
-40,21.24611,0.29491504
-32,21.24611,0.326255494
-24,21.24611,0.417572176
-16,21.24611,0.47486431799999995
40,21.24611,0.30148595100000003
56,21.24611,0.380068315
64,21.24611,0.36160969
72,21.24611,0.38618606
88,21.24611,0.430425402
96,21.24611,0.37366647299999994
104,21.24611,0.34726336799999996
112,21.24611,0.5894370760000001
120,21.24611,0.77160941
128,21.24611,0.590714339
136,21.24611,0.32254087
144,21.24611,0.363058996
152,21.24611,0.298120454
160,21.24611,0.28463460399999996
168,21.24611,0.287043973
176,21.24611,0.274209205
-176,12.84422,0.29188115800000003
-168,12.84422,0.335943029
-160,12.84422,0.325122303
-152,12.84422,0.309741597
-144,12.84422,0.28770647899999996
-136,12.84422,0.26156583699999997
-128,12.84422,0.263760192
-120,12.84422,0.25937487600000003
-112,12.84422,0.262327116
-104,12.84422,0.323753589
