X,Y,OBJECTID,DATE,LATITUDE,LONGITUDE,CD1____KM_,CD2____KM_,CD3____KM_,CD4____KM_,WD1__G_KM_,WD2__G_KM_,WD3__G_KM_,WD4__G_KM_,SEA_STATE_,SOURCE,INFO,CD4
-64.5600000001998,19.94,1,9/1/2010,19.94,-64.56,58102.96,21259.89,2226.17,0,4.45,26.83,4.23,0,2.5,M. Eriksen,NAG10-SM001,0
-64.3800000001998,20.2199999998002,2,9/1/2010,20.22,-64.38,6639.79,4031.3,1067.11,0,1.04,28.69,40.79,0,2,M. Eriksen,NAG10-SM002,0
-64.2000000001998,20.4499999997003,3,9/1/2010,20.45,-64.2,15246.71,12147.79,991.66,0,2.57,42.62,3503.27,0,2,M. Eriksen,NAG10-SM003,0
-63.8300000003997,21.1299999996003,4,10/1/2010,21.13,-63.83,5347.35,6851.29,1420.39,0,1.15,12.86,4.26,0,2,M. Eriksen,NAG10-SM004,0
-63.5899999998001,21.47,5,10/1/2010,21.47,-63.59,4090.58,5317.76,409.06,0,0.48,29.63,4.36,0,2,M. Eriksen,NAG10-SM005,0
-63.4199999996002,21.74,6,10/1/2010,21.74,-63.42,44914.59,46144.76,33133.71,0,6.26,47.98,2051.84,0,2,M. Eriksen,NAG10-SM006,0
-63.1499999996003,22.1499999999001,7,11/1/2010,22.15,-63.15,17324.82,4519.52,502.17,0,1.38,3.52,1.13,0,2,M. Eriksen,NAG10-SM007,0
-62.7600000001998,22.8399999996004,8,11/1/2010,22.84,-62.76,10467.48,10329.75,413.19,0,1.24,33.9,15.84,0,2,M. Eriksen,NAG10-SM008,0
-62.8100000000999,24.3599999998002,9,12/1/2010,24.36,-62.81,7434.53,9436.14,190.63,0,1.14,28.59,0.29,0,4,M. Eriksen,NAG10-SM009,0
-62.8100000000999,24.3599999998002,10,12/1/2010,24.36,-62.81,0,1510.37,704.84,0,0,8.96,13.59,0,4,M. Eriksen,NAG10-SM010,0
-62.7200000000999,24.7699999997003,11,13/01/2010,24.77,-62.72,377.59,1636.23,377.59,0,0.11,5.41,7.93,0,4,M. Eriksen,NAG10-SM011,0
-62.4800000003997,25.38,12,13/01/2010,25.38,-62.48,3126.56,2918.12,416.87,0,0.46,3.99,0.42,0,3,M. Eriksen,NAG10-SM012,0
-62.4400000002997,25.56,13,13/01/2010,25.56,-62.44,428395.48,132757.97,119370.62,0,15.62,837.83,25752.82,0,2,M. Eriksen,NAG10-SM013,0
-61.7200000002997,26.0900000002998,14,14/01/2010,26.09,-61.72,0,2111.27,351.88,0,0,4.52,8.45,0,4.5,M. Eriksen,NAG10-SM014,0
-62.9900000000999,29.25,15,15/01/2010,29.25,-62.99,4682.38,14983.63,1560.79,0,0.61,86,105.82,0,2.5,M. Eriksen,NAG10-SM015,0
-63.22,29.75,16,15/01/2010,29.75,-63.22,3020.74,35544.01,3725.58,0,0.41,165.27,613.71,0,2,M. Eriksen,NAG10-SM016,0
-63.7100000000999,30.5500000001999,17,16/01/2010,30.55,-63.71,31985.11,157152.3,4991.9,0,8.1,778.18,599.95,0,2,M. Eriksen,NAG10-SM017,0
